ID,track_name,"size bytes",currency,price,rating_count_tot,rating_count_ver,user_rating,user_rating_ver,ver,cont_rating,prime_genre,sup_devices.num,ipadSc_urls.num,lang.num,vpp_lic
285994151,":) Sudoku +",6169600,USD,2.99,11447,781,5,5,5.2.6,4+,Games,40,5,1,"1"
335545504,"King of Dragon Pass",364490752,USD,9.99,882,85,5,5,2.3.2,12+,Games,43,5,1,"1"
342548956,"TurboScan┴Ц╒ Pro - document & receipt scanner: scan multiple pages and photos to PDF",8821760,USD,4.99,28388,7009,5,5,2.8.2,4+,Business,38,5,9,"1"
350642635,"Plants vs. Zombies",105379840,USD,0.99,426463,680,5,4,1.9.13,9+,Games,38,0,5,"1"
353372460,"Learn to Speak Spanish Fast With MosaLingua",48819200,USD,4.99,9,1,5,5,9.2,12+,Education,38,5,5,"1"
363282253,"Plants vs. Zombies HD",225859584,USD,0.99,163598,503,5,4,1.9.12,9+,Games,24,5,5,"1"
366195670,"The Photographer's Ephemeris",58463232,USD,8.99,663,5,5,4,3.14.1,4+,"Photo & Video",37,5,1,"1"
372283316,"┴пхSudoku +",61595648,USD,4.99,5397,476,5,5,5.4,4+,Games,40,5,7,"1"
381471023,"Flashlight ┴рЦ",42027008,USD,0,130450,1010,5,4.5,2.1.2,4+,Utilities,40,0,22,"1"
387428400,"Infinity Blade",624107810,USD,0.99,326482,177050,5,5,1.4.1,12+,Games,43,5,13,"1"
