Date,Calorie burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,MinutesOfSleep,MinutesOfBeingAwake,NumberOfAwakings,LengthOfRestInMinutes,Distance_miles,Days,Days_encoded,Work_or_Weekend,Hours Sleep,Sleep efficiency,Yesterday_sleep,Yesterday_sleep_efficiency,Months,Months_encoded
5/8/2015,1934,905,0.65,0,1.355,46,0,0,1680,384,26,23,417,0.40389115,Friday,4,1,6.4,92.08633094,0,0,May,5
5/9/2015,3631,18925,14.11,4,611,316,61,60,2248,454,35,21,491,8.76754481,Saturday,5,0,7.566666667,92.46435845,6.4,92.08633094,May,5
5/10/2015,3204,14228,10.57,1,602,226,14,77,1719,387,46,25,436,6.56789147,Sunday,6,0,6.45,88.76146789,7.566666667,92.46435845,May,5
5/11/2015,2673,6756,5.02,8,749,190,23,4,9620,311,31,21,350,3.11928242,Monday,0,1,5.183333333,88.85714286,6.45,88.76146789,May,5
5/12/2015,2495,502,3.73,1,876,171,0,0,7360,407,65,44,491,2.31771383,Tuesday,1,1,6.783333333,82.89205703,5.183333333,88.85714286,May,5
5/13/2015,276,779,5.79,15,726,172,34,18,1094,405,47,31,457,3.59773809,Wednesday,2,1,6.75,88.6214442,6.783333333,82.89205703,May,5
5/14/2015,2687,5614,4.17,2,782,216,13,1,9830,381,28,12,415,2.59111707,Thursday,3,1,6.35,91.80722892,6.75,88.6214442,May,5
5/15/2015,2793,8169,6.07,14,801,218,8,7,1092,269,34,16,306,3.77172197,Friday,4,1,4.483333333,87.90849673,6.35,91.80722892,May,5
5/16/2015,4061,19971,14.84,18,532,247,101,118,27,452,26,18,507,9.22114564,Saturday,5,0,7.533333333,89.15187377,4.483333333,87.90849673,May,5
5/17/2015,3349,852,6.33,12,606,186,46,73,1766,269,17,11,291,3.93327843,Sunday,6,0,4.483333333,92.43986254,7.533333333,89.15187377,May,5
5/18/2015,2961,11998,8.91,20,936,189,18,51,1371,167,9,8,180,5.53641561,Monday,0,1,2.783333333,92.77777778,4.483333333,92.43986254,May,5
5/19/2015,2911,12425,9.23,14,827,186,18,54,1351,368,50,27,420,5.73525433,Tuesday,1,1,6.133333333,87.61904762,2.783333333,92.77777778,May,5
5/20/2015,2569,6008,4.46,8,783,214,15,2,9390,386,30,22,420,2.77131466,Wednesday,2,1,6.433333333,91.9047619,6.133333333,87.61904762,May,5
5/21/2015,3228,16291,12.1,18,616,237,48,52,1766,351,46,26,399,7.5185891,Thursday,3,1,5.85,87.96992481,6.433333333,91.9047619,May,5
5/22/2015,2529,6111,4.54,8,820,190,14,5,8820,314,32,26,353,2.82102434,Friday,4,1,5.233333333,88.95184136,5.85,87.96992481,May,5
5/23/2015,4197,17928,13.32,17,533,262,79,132,288,432,35,24,469,8.27666172,Saturday,5,0,7.2,92.1108742,5.233333333,88.95184136,May,5
5/24/2015,3899,13893,10.32,6,641,222,33,140,2502,224,24,19,270,6.41254872,Sunday,6,0,3.733333333,82.96296296,7.2,92.1108742,May,5
5/25/2015,2519,5109,3.8,8,861,200,0,0,8470,0,0,0,0,2.3612098,Monday,0,1,0,0,3.733333333,82.96296296,May,5
5/26/2015,2357,443,3.29,6,1.269,156,0,0,6440,389,39,28,430,2.04431059,Tuesday,1,1,6.483333333,90.46511628,0,0,May,5
5/27/2015,3209,7498,5.57,18,692,196,64,50,1676,381,24,17,412,3.46103647,Wednesday,2,1,6.35,92.47572816,6.483333333,90.46511628,May,5
5/28/2015,2811,849,6.31,14,771,212,8,13,1148,417,66,32,486,3.92085101,Thursday,3,1,6.95,85.80246914,6.35,92.47572816,May,5
5/29/2015,2558,565,4.2,8,789,208,0,0,8900,464,35,26,503,2.6097582,Friday,4,1,7.733333333,92.24652087,6.95,85.80246914,May,5
5/30/2015,417,21479,15.98,16,503,230,55,153,2794,328,53,25,382,9.92950858,Saturday,5,0,5.466666667,85.86387435,7.733333333,92.24652087,May,5
5/31/2015,3533,18995,14.11,12,660,269,86,43,2092,426,54,33,495,8.76754481,Sunday,6,0,7.1,86.06060606,5.466666667,85.86387435,May,5
6/1/2015,3354,16836,12.51,8,586,248,35,70,1862,430,41,26,484,7.77335121,Monday,0,1,7.166666667,88.84297521,7.1,86.06060606,June,6
6/2/2015,3369,15944,11.85,29,640,214,15,93,1827,376,46,34,436,7.36324635,Tuesday,1,1,6.266666667,86.23853211,7.166666667,88.84297521,June,6
6/3/2015,3168,14273,10.6,11,721,178,16,89,1592,312,44,29,369,6.5865326,Wednesday,2,1,5.2,84.55284553,6.266666667,86.23853211,June,6
6/4/2015,347,1606,11.93,11,724,239,38,70,1939,388,21,15,415,7.41295603,Thursday,3,1,6.466666667,93.4939759,5.2,84.55284553,June,6
6/5/2015,3134,13594,10.1,16,677,215,36,52,1583,409,56,34,468,6.2758471,Friday,4,1,6.816666667,87.39316239,6.466666667,93.4939759,June,6
6/6/2015,3436,1548,11.5,11,520,246,78,42,1927,426,54,27,495,7.1457665,Saturday,5,0,7.1,86.06060606,6.816666667,87.39316239,June,6
6/7/2015,3634,1944,14.48,8,966,210,28,130,2155,430,41,19,484,8.99745208,Sunday,6,0,7.166666667,88.84297521,7.1,86.06060606,June,6
6/8/2015,3267,13926,10.35,21,701,265,63,29,1785,376,46,30,436,6.43118985,Monday,0,1,6.266666667,86.23853211,7.166666667,88.84297521,June,6
6/9/2015,3072,11338,8.42,28,806,228,43,31,1494,312,44,25,369,5.23194382,Tuesday,1,1,5.2,84.55284553,6.266666667,86.23853211,June,6
6/10/2015,275,714,5.31,12,785,220,20,4,1081,388,21,14,415,3.29948001,Wednesday,2,1,6.466666667,93.4939759,5.2,84.55284553,June,6
6/11/2015,3187,15449,11.48,22,676,205,39,64,1676,409,56,30,468,7.13333908,Thursday,3,1,6.816666667,87.39316239,6.466666667,93.4939759,June,6
6/12/2015,3207,1192,8.86,11,593,352,34,11,1777,54,18,3,87,5.50534706,Friday,4,1,0.9,62.06896552,6.816666667,87.39316239,June,6
6/13/2015,4083,26444,19.65,22,549,429,56,56,2818,347,45,21,401,12.20994015,Saturday,5,0,5.783333333,86.53366584,0.9,62.06896552,June,6
6/14/2015,2789,12335,9.16,35,1.245,88,10,93,1209,290,33,14,332,5.69175836,Sunday,6,0,4.833333333,87.34939759,5.783333333,86.53366584,June,6
6/15/2015,3234,14137,10.5,11,642,305,8,51,1756,379,24,14,411,6.5243955,Monday,0,1,6.316666667,92.21411192,4.833333333,87.34939759,June,6
6/16/2015,2952,11568,8.66,13,734,189,17,54,1352,394,29,17,436,5.38107286,Tuesday,1,1,6.566666667,90.36697248,6.316666667,92.21411192,June,6
6/17/2015,3352,16813,12.52,52,709,202,2,110,1809,421,23,13,448,7.77956492,Wednesday,2,1,7.016666667,93.97321429,6.566666667,90.36697248,June,6
6/18/2015,3425,15217,11.31,61,641,280,44,59,1974,169,20,11,196,7.02770601,Thursday,3,1,2.816666667,86.2244898,7.016666667,93.97321429,June,6
6/19/2015,309,13158,9.78,101,715,171,30,66,1511,0,0,0,0,6.07700838,Friday,4,1,0,0,2.816666667,86.2244898,June,6
6/20/2015,3699,19311,14.35,14,519,291,55,93,2348,412,17,9,436,8.91667385,Saturday,5,0,6.866666667,94.49541284,0,0,June,6
6/21/2015,3385,16186,12.03,42,637,229,52,75,1921,379,49,30,438,7.47509313,Sunday,6,0,6.316666667,86.52968037,6.866666667,94.49541284,June,6
6/22/2015,3088,12713,9.48,59,631,225,24,44,1533,373,47,23,427,5.89059708,Monday,0,1,6.216666667,87.35362998,6.316666667,86.52968037,June,6
6/23/2015,2823,9132,6.79,15,777,223,32,15,1236,360,51,26,416,4.21910909,Tuesday,1,1,6,86.53846154,6.216666667,87.35362998,June,6
6/24/2015,3678,20239,15.04,25,621,292,37,95,2292,358,42,22,401,9.34541984,Wednesday,2,1,5.966666667,89.27680798,6,86.53846154,June,6
6/25/2015,3003,11199,8.32,28,737,227,36,20,1419,415,48,29,468,5.16980672,Thursday,3,1,6.916666667,88.67521368,5.966666667,89.27680798,June,6
6/26/2015,3534,20269,15.06,4,720,218,54,99,2078,464,39,24,503,9.35784726,Friday,4,1,7.733333333,92.24652087,6.916666667,88.67521368,June,6
6/27/2015,3022,11655,8.66,10,670,220,28,53,1491,388,54,28,444,5.38107286,Saturday,5,0,6.466666667,87.38738739,7.733333333,92.24652087,June,6
6/28/2015,3237,12314,9.15,21,601,290,25,51,175,449,24,15,480,5.68554465,Sunday,6,0,7.483333333,93.54166667,6.466666667,87.38738739,June,6
6/29/2015,3142,12586,9.35,19,735,234,35,49,1579,357,29,15,395,5.80981885,Monday,0,1,5.95,90.37974684,7.483333333,93.54166667,June,6
6/30/2015,2945,12445,9.25,11,635,200,18,58,1393,379,38,21,420,5.74768175,Tuesday,1,1,6.316666667,90.23809524,5.95,90.37974684,June,6
7/1/2015,3352,14193,10.55,19,669,210,47,70,1782,332,16,7,349,6.55546405,Wednesday,2,1,5.533333333,95.12893983,6.316666667,90.23809524,July,7
7/2/2015,3063,1156,8.62,30,708,158,25,67,1419,413,38,19,454,5.35621802,Thursday,3,1,6.883333333,90.969163,5.533333333,95.12893983,July,7
